address;0;1
Санкт-Петербург, г, Тельмана ул, дом № 24;59.890633;30.468288
Нижегородская обл, Нижний Новгород г, Воротынская ул, дом № 3;56.29268;43.9533
Московская обл, Дмитровский р-н, Зараменье д, дом № 41, строение 1;56.36615;37.417957
Краснодарский край, Краснодар г, Новороссийская ул, дом № 234;45.03666;39.052193
Челябинская обл, Сосновский р-н, Есаульский п, Российская ул, дом № 43, корпус А;55.35962;61.34835
Свердловская обл, Екатеринбург г, Ангарская ул, дом № 77А;56.88916;60.50559
Челябинская обл, Сосновский р-н, Есаульский п, Юбилейная ул, дом № 21;55.301537;61.22276
Калужская обл, Обнинск г, Киевское ш, дом № 35;55.10754;36.642445
Воронежская обл, Новоусманский р-н;51.64727;39.61648
Санкт-Петербург, г, Шушары п, Московское ш, дом № 177, корпус 2;59.761375;30.473265
Мурманская обл, Мурманск г, Ленина пр-кт, дом № 34;68.95691;33.067593
Ставропольский край, Минераловодский р-н, Анджиевский п, Заводская ул, дом № 1;44.237175;43.08628
Кабардино-Балкарская Респ, Нальчик г;43.493076;43.619358
Калужская обл, Калуга г, Грабцевское шоссе ул, дом № 71;54.54111;36.317413
Тульская обл, Ленинский р-н, Нижнее Елькино д, дом № 77;54.150326;37.53688
Ростовская обл, Донецк г, Ленина пр-кт, дом № 29;48.32784;39.95016
Московская обл, Подольск г;55.430885;37.545307
Московская обл, Клинский р-н, Клин г, Московская ул, дом № 28;56.316406;36.707016
Московская обл, Щелковский р-н, Щелково г, Заречная ул, дом № 153;55.926662;38.025887
Московская обл, Луховицкий р-н, Луховицы г, Куйбышева ул, дом № 11;54.9655;39.02755
Калужская обл, Боровский р-н, Балабаново г, Лермонтова ул, дом № 2;55.187965;36.64475
Московская обл, Коломна г, Пирочинское ш, дом № 4;55.071575;38.88192
Московская обл, Коломна г, Красноармейская ул, дом № 1А, А;55.05822;38.864914
Московская обл, Коломна г, Красноармейская ул, дом № 1, корпус А;55.05822;38.864914
Московская обл, Мытищи г, Волковское ш, дом № 25А;55.923546;37.71001
Московская обл, Дмитровский р-н, Зараменье д, дом № 41;56.36615;37.417957
Московская обл, Ленинский р-н, Боброво д, строение 67Ю;55.527214;37.617348
Ставропольский край, Кисловодск г, Кирова ул, дом № 43;43.908978;42.72123
Татарстан Респ, Лаишевский р-н, Столбище с, Советская ул, дом № 271;55.643215;49.21406
Московская обл, Балашиха г, Энтузиастов ш, дом № 11А;55.788986;37.88849
Московская обл, Люберецкий р-н, Томилино рп, Новорязанского шоссе 23-й км, строение 21;55.652916;37.932137
Смоленская обл, Ярцевский р-н, Ярцево г, Кузнецова ул, дом № 56;55.07556;32.664795
Татарстан Респ, Казань г, Воровского ул, дом № 15, корпус Б;55.842148;49.0884
Московская обл, Щелковский р-н, Щелково г, Фруктовый проезд, дом № 1;55.92023;37.948696
